Ticker,Ticker2,Correlation,,,,,,,,,,
ADANIPORTS,AXISBANK,77.02%,,,,,,,,,,
APOLLOHOSP,AXISBANK,60.74%,,,,,,,,,,
ASIANPAINT,AXISBANK,0.10%,,,,,,,,,,
AXISBANK,AXISBANK,100.00%,,,,,,,,,,
BAJAJ-AUTO,AXISBANK,74.28%,,,,,,,,,,
BAJAJFINSV,AXISBANK,33.46%,,,,,,,,,,
BAJFINANCE,AXISBANK,-15.52%,,,,,,,,,,
BEL,AXISBANK,86.30%,,,,,,,,,,
BHARTIARTL,AXISBANK,76.76%,,,,,,,,,,
BPCL,AXISBANK,67.42%,,,,,,,,,,
BRITANNIA,AXISBANK,79.58%,,,,,,,,,,
CIPLA,AXISBANK,69.53%,,,,,,,,,,
COALINDIA,AXISBANK,73.78%,,,,,,,,,,
DRREDDY,AXISBANK,64.37%,,,,,,,,,,
EICHERMOT,AXISBANK,83.98%,,,,,,,,,,
GRASIM,AXISBANK,84.81%,,,,,,,,,,
HCLTECH,AXISBANK,45.31%,,,,,,,,,,
HDFCBANK,AXISBANK,63.47%,,,,,,,,,,
HDFCLIFE,AXISBANK,25.84%,,,,,,,,,,
HEROMOTOCO,AXISBANK,83.70%,,,,,,,,,,
HINDALCO,AXISBANK,83.47%,,,,,,,,,,
HINDUNILVR,AXISBANK,47.43%,,,,,,,,,,
ICICIBANK,AXISBANK,81.96%,,,,,,,,,,
INDUSINDBK,AXISBANK,-20.53%,,,,,,,,,,
INFY,AXISBANK,54.03%,,,,,,,,,,
ITC,AXISBANK,46.41%,,,,,,,,,,
JSWSTEEL,AXISBANK,81.11%,,,,,,,,,,
KOTAKBANK,AXISBANK,27.55%,,,,,,,,,,
LT,AXISBANK,65.32%,,,,,,,,,,
M&M,AXISBANK,82.23%,,,,,,,,,,
MARUTI,AXISBANK,59.65%,,,,,,,,,,
NESTLEIND,AXISBANK,32.70%,,,,,,,,,,
NTPC,AXISBANK,76.91%,,,,,,,,,,
ONGC,AXISBANK,66.40%,,,,,,,,,,
POWERGRID,AXISBANK,82.05%,,,,,,,,,,
RELIANCE,AXISBANK,64.99%,,,,,,,,,,
SBILIFE,AXISBANK,60.09%,,,,,,,,,,
SBIN,AXISBANK,77.27%,,,,,,,,,,
